Safra,Cidade,Mes,Mes_Num,Ano_Calendario,Fase_Fenologica,Data_Liquidacao,Dias_Uteis_Vencimento,Taxa_Juros_Usada_pct,Chuva_Media_Hist_mm,N_Anos_Historico,Strike_Pct,Strike_mm,Prob_Acionamento_Hist,Prob_Acionamento_MC,Premio_HBA_RS,Premio_MC_RS,Premio_Medio_RS,Payoff_Max_RS,VaR95_Vendedor_RS,Payoff_P99_RS
2026/2027,Lucas do Rio Verde,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,144.4,36,30%,43.3,0.028,0.004,25.57,3.8,14.69,9000.0,0.0,0.0
2026/2027,Lucas do Rio Verde,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,144.4,36,40%,57.8,0.056,0.019,151.36,28.8,90.08,9000.0,0.0,984.92
2026/2027,Lucas do Rio Verde,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,144.4,36,50%,72.2,0.056,0.054,291.49,116.68,204.09,9000.0,188.74,3158.61
2026/2027,Lucas do Rio Verde,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,144.4,36,60%,86.7,0.083,0.122,459.2,328.59,393.89,9000.0,2380.24,5140.53
2026/2027,Lucas do Rio Verde,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,144.4,36,70%,101.1,0.194,0.209,771.53,734.69,753.11,9000.0,4555.44,7447.7
2026/2027,Lucas do Rio Verde,Outubro,10,2026,Emergência/Vegetativo,2026-11-06,60,13.5586,144.4,36,80%,115.6,0.278,0.315,1261.6,1349.98,1305.79,9000.0,6641.06,9000.0
2026/2027,Lucas do Rio Verde,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.1,36,30%,61.5,0.0,0.002,0.0,2.11,1.05,9000.0,0.0,0.0
2026/2027,Lucas do Rio Verde,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.1,36,40%,82.0,0.028,0.009,19.97,16.84,18.41,9000.0,0.0,0.0
2026/2027,Lucas do Rio Verde,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.1,36,50%,102.6,0.056,0.036,189.46,95.36,142.41,9000.0,0.0,3138.85
2026/2027,Lucas do Rio Verde,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.1,36,60%,123.1,0.139,0.091,461.38,306.38,383.88,9000.0,2077.34,6044.04
2026/2027,Lucas do Rio Verde,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.1,36,70%,143.6,0.222,0.179,1021.04,760.66,890.85,9000.0,5236.21,9000.0
2026/2027,Lucas do Rio Verde,Novembro,11,2026,Vegetativo,2026-12-06,80,13.5587,205.1,36,80%,164.1,0.25,0.293,1643.38,1518.53,1580.96,9000.0,8342.86,9000.0
